path,name,attractiveness,actionability,blended,quadrant,investability,recurring,fragmentation,regulatory_demand,scale,margin,growth,headroom,reimbursement_risk,players_dach,revenue_band,pe_activity,why_now,confidence,status,n_sources
"Environmental Services value chain > Environmental Consulting, Monitoring & Compliance > Outsourced Statutory Environmental Officers (Betriebsbeauftragte) > Immissionsschutz- & Störfallbeauftragter (§53/§58a BImSchG)",Immissionsschutz- & Störfallbeauftragter (§53/§58a BImSchG),87.5,75.0,65.6,Act now,open,5,5,5,3,5,4,5,1,~hundreds,EUR 3-20k per mandate/year,,,3,verified,3
"Environmental Services value chain > Environmental Consulting, Monitoring & Compliance > Emissions & Immissions Measurement (accredited Messstellen) > Noise & vibration measurement / acoustic reporting",Noise & vibration measurement / acoustic reporting,79.2,75.0,59.4,Act now,open,3,5,5,4,4,4,5,1,~500+ acoustics/Ingenieurbüros (DE),EUR 0.3-3m typical firm,,,3,verified,3
Environmental Services value chain > Industrial & Sewer Cleaning Services > Sewer & Drain Cleaning + CCTV Inspection (Kanalreinigung / TV-Inspektion) > CCTV Inspection & Leak Testing (TV-Inspektion / Dichtheitspruefung),CCTV Inspection & Leak Testing (TV-Inspektion / Dichtheitspruefung),74.2,75.0,55.6,Act now,open,4,4,5,4,4,4,4,2,"~800-1,200 certified operators (DE)",EUR 0.3-4m typical,,,4,verified,4
Environmental Services value chain > Industrial & Sewer Cleaning Services > Hydro-Excavation / Suction Excavation (Saugbaggern),Hydro-Excavation / Suction Excavation (Saugbaggern),61.7,87.5,54.0,Act now,open,3,5,4,4,2,4,5,2,"~200-400 operators (DE), growing",EUR 0.3-5m typical (per-truck economics),,,4,verified,4
Environmental Services value chain > Hazardous-Materials & Pollutant Removal > Mould remediation (Schimmelsanierung),Mould remediation (Schimmelsanierung),70.0,75.0,52.5,Act now,open,4,5,3,5,3,4,5,2,"~28,000 listed firms; ~287 TÜV-certified (DE)","EUR 0.1-2m typical; sector ~EUR 1.28bn (2023, DE)",,,3,verified,4
"Environmental Services value chain > Environmental Consulting, Monitoring & Compliance > Ecological Surveying & Environmental Construction Supervision (Umweltbaubegleitung) > Ecological construction supervision (UBB/ÖBB)",Ecological construction supervision (UBB/ÖBB),78.3,62.5,48.9,Act now,open,4,5,5,4,4,4,4,2,~hundreds of firms,EUR 20-200k per project,,,3,verified,3
"Environmental Services value chain > Hazardous-Materials & Pollutant Removal > Asbestos removal & abatement (Asbestsanierung, TRGS 519) > Strongly-bound asbestos (Asbestzement: façade/roof/pipes)",Strongly-bound asbestos (Asbestzement: façade/roof/pipes),74.2,62.5,46.4,Act now,open,4,5,4,5,3,4,4,2,Hundreds-to-thousands incl. qualified roofing/façade trades,EUR 0.2-2m typical,,,3,verified,3
Environmental Services value chain > Hazardous-Materials & Pollutant Removal > Pollutant surveying & building hazmat registers (Schadstoffkataster / Erkundung),Pollutant surveying & building hazmat registers (Schadstoffkataster / Erkundung),74.2,62.5,46.4,Act now,open,4,4,5,4,4,4,4,2,Several hundred Gutachter/Ingenieurbüros & environmental institutes,EUR 0.2-3m typical (fee-based),,,3,verified,5
Environmental Services value chain > Industrial & Sewer Cleaning Services > Statutory Separator Emptying & Service (Fett-/Oel-/Leichtfluessigkeitsabscheider),Statutory Separator Emptying & Service (Fett-/Oel-/Leichtfluessigkeitsabscheider),70.0,62.5,43.8,Act now,open,5,5,5,4,2,3,3,2,several hundred separator-service operators (DE),EUR 0.5-10m; embedded in waste-disposal groups,,,4,verified,6
"Environmental Services value chain > Hazardous-Materials & Pollutant Removal > Other building pollutant remediation (KMF, PCB, PAK, lead, heavy metals) > KMF / old mineral wool removal (TRGS 521)",KMF / old mineral wool removal (TRGS 521),70.0,62.5,43.8,Act now,open,4,5,4,4,3,4,4,2,Hundreds (overlapping Schadstoffsanierung/insulation firms),EUR 0.2-3m typical,,,3,verified,4
"Environmental Services value chain > Environmental Consulting, Monitoring & Compliance > EHS / Environmental Management Software (SaaS)",EHS / Environmental Management Software (SaaS),83.3,50.0,41.6,Act now,open,5,3,4,4,5,5,2,1,~20-40 relevant vendors (DACH),EUR 5-100m vendors; subscriptions EUR 5-100k/yr,,,4,verified,5
Environmental Services value chain > Industrial & Sewer Cleaning Services > Sewer & Drain Cleaning + CCTV Inspection (Kanalreinigung / TV-Inspektion) > High-Pressure Sewer Flushing (Kanalreinigung / HD-Spuelung),High-Pressure Sewer Flushing (Kanalreinigung / HD-Spuelung),65.8,62.5,41.1,Act now,open,4,5,4,5,2,3,3,2,"~1,500+ firms (DE)",EUR 0.3-3m typical,,,4,verified,3
"Environmental Services value chain > Environmental Consulting, Monitoring & Compliance > Environmental Permitting & Genehmigungsplanung (BImSchG) > Permit application dossier & procedure management (§4/§16)",Permit application dossier & procedure management (§4/§16),65.8,62.5,41.1,Act now,open,2,5,5,3,4,4,4,2,~hundreds of firms,EUR 20-250k per project,,,3,verified,3
Environmental Services value chain > Hazardous-Materials & Pollutant Removal > Fire & water damage restoration (Brand-/Wasserschadensanierung) > Water damage & structural drying (Wasserschaden/Bautrocknung),Water damage & structural drying (Wasserschaden/Bautrocknung),65.8,62.5,41.1,Act now,open,5,4,2,5,3,4,3,2,"~1,253 water-damage + ~1,191 drying firms (DE)",EUR 0.3-5m typical,,,4,verified,3
