path,name,attractiveness,actionability,blended,quadrant,investability,recurring,fragmentation,regulatory_demand,scale,margin,growth,headroom,reimbursement_risk,players_dach,revenue_band,pe_activity,why_now,confidence,status,n_sources
"Building & Facility Technical Services value chain > Fire Protection Systems (Brandschutz) > Passive fire protection: dampers, doors & compartmentation > Fire dampers (Brandschutzklappen) inspection",Fire dampers (Brandschutzklappen) inspection,87.5,75.0,65.6,Act now,open,5,5,5,3,5,4,4,1,Hundreds of firms (DE),EUR 0.3-4m typical,,,4,verified,3
"Building & Facility Technical Services value chain > Fire Protection Systems (Brandschutz) > Passive fire protection: dampers, doors & compartmentation > Fire doors, gates & hold-open devices","Fire doors, gates & hold-open devices",87.5,75.0,65.6,Act now,open,5,5,5,4,4,4,4,1,Hundreds of firms (DE),EUR 0.3-4m typical,,,4,verified,4
Building & Facility Technical Services value chain > Electrical Services & Building Automation > Lightning Protection & Surge (Blitzschutz / Überspannungsschutz),Lightning Protection & Surge (Blitzschutz / Überspannungsschutz),83.3,75.0,62.5,Act now,open,5,5,5,3,4,4,5,1,"several hundred Blitzschutz-Fachbetriebe (DE, VDB)",EUR 0.3-5m typical,,,3,verified,4
"Building & Facility Technical Services value chain > Technical FM & Building Envelope > DGUV Arbeitsmittel- & Regalprüfung (Leitern, Regale DIN EN 15635, PSA gegen Absturz)","DGUV Arbeitsmittel- & Regalprüfung (Leitern, Regale DIN EN 15635, PSA gegen Absturz)",91.7,62.5,57.3,Act now,open,5,5,5,4,5,4,4,1,hundreds of Arbeitsmittel-/Regalprüfdienste & befähigte Personen (DE); large overlap with DGUV V3 inspection firms,EUR 0.2-3m typical route/inspection firm,,,3,verified,3
Building & Facility Technical Services value chain > Security & Access Systems > Intruder & hold-up alarm systems (EMA/ÜMA) — install & service > EMA/ÜMA maintenance & inspection contracts (Wartung),EMA/ÜMA maintenance & inspection contracts (Wartung),87.5,62.5,54.7,Act now,open,5,5,5,4,4,4,3,1,co-extensive with EMA installer base,recurring EUR 100-500 per system p.a.; core margin driver,,,4,verified,3
"Building & Facility Technical Services value chain > Electrical Services & Building Automation > Statutory Electrical Safety Testing (DGUV V3 / E-Check) > Portable equipment testing (ortsveränderliche Betriebsmittel, DGUV V3)","Portable equipment testing (ortsveränderliche Betriebsmittel, DGUV V3)",83.3,62.5,52.1,Act now,open,5,4,5,5,4,3,3,1,thousands of DE providers,per-device pricing; EUR 0.2-5m firms,,,4,verified,3
Building & Facility Technical Services value chain > Fire Protection Systems (Brandschutz) > Fire alarm & detection (BMA) service,Fire alarm & detection (BMA) service,83.3,62.5,52.1,Act now,open,5,4,5,4,4,4,3,1,Several hundred DIN 14675-certified Fachfirmen (DE),EUR 1-15m typical; large OEM units far higher,,,4,verified,5
"Building & Facility Technical Services value chain > HVAC, Ventilation & Cooling Service > Cooling Towers & Evaporative Coolers Hygiene (42. BImSchV / Legionella)",Cooling Towers & Evaporative Coolers Hygiene (42. BImSchV / Legionella),83.3,62.5,52.1,Act now,open,5,4,5,3,4,5,4,1,~200-500 firms (accredited labs + water-hygiene/service providers),EUR 0.3-5m typical,,,3,verified,4
Building & Facility Technical Services value chain > Lift & Escalator Service > Independent (non-OEM) lift maintenance & service > Multi-brand / manufacturer-independent takeover of OEM-installed base,Multi-brand / manufacturer-independent takeover of OEM-installed base,83.3,62.5,52.1,Act now,open,5,4,4,5,4,4,3,1,All ~800 firms compete for takeovers,"EUR 1,000-3,000/lift/yr contract value",,,4,verified,3
Building & Facility Technical Services value chain > Lift & Escalator Service > Lift emergency call & remote monitoring (Notruf / Aufschaltung),Lift emergency call & remote monitoring (Notruf / Aufschaltung),83.3,62.5,52.1,Act now,open,5,3,5,4,5,4,3,1,Several dozen Aufschalt-/Notrufzentralen + OEMs + security firms,"~EUR 5-20/lift/month subscription; specialists cite 25,000+ active connections",,,4,verified,4
"Building & Facility Technical Services value chain > Plumbing, Sanitary & Water Hygiene (SHK) > Drinking-Water Hygiene & Legionella (TrinkwV) > Legionella Sampling & Lab Analysis",Legionella Sampling & Lab Analysis,83.3,62.5,52.1,Act now,open,5,4,5,4,4,4,3,1,Thousands of samplers; hundreds of accredited labs,EUR 150-400 per round,,,4,verified,3
