path,name,attractiveness,actionability,blended,quadrant,investability,recurring,fragmentation,regulatory_demand,scale,margin,growth,headroom,reimbursement_risk,players_dach,revenue_band,pe_activity,why_now,confidence,status,n_sources
"Testing, Inspection & Certification value chain > Periodic Technical & Safety Inspection > Work Equipment & PPE Inspection (Ladders, Racking, PSA against falls)","Work Equipment & PPE Inspection (Ladders, Racking, PSA against falls)",83.3,87.5,72.9,Act now,open,5,5,4,4,4,4,5,1,Hundreds of Prüfservice/Arbeitssicherheit SMEs,EUR 0.1-2m typical,,,4,verified,4
"Testing, Inspection & Certification value chain > Periodic Technical & Safety Inspection > Electrical Installation Inspection (DGUV V3 / E-Check) > Portable electrical equipment (ortsveränderlich)",Portable electrical equipment (ortsveränderlich),95.8,62.5,59.9,Act now,open,5,5,5,5,4,5,2,1,Hundreds+ of Prüfservice SMEs,EUR 0.2-3m typical; per-device few-EUR pricing at volume,,,5,verified,4
"Testing, Inspection & Certification value chain > Construction, Structural & Real-Estate Inspection > Energy Performance Certification & GEG Energy Advisory (Energieausweis / Energieberatung) > Energieausweis issuance (residential/non-residential)",Energieausweis issuance (residential/non-residential),66.7,75.0,50.0,Act now,open,3,5,5,3,2,4,5,1,Tens of thousands of authorised issuers,EUR 50-500 per certificate; volume-driven,,,3,verified,3
"Testing, Inspection & Certification value chain > Calibration & Metrology > Prüfmittelmanagement / calibration-management services & software",Prüfmittelmanagement / calibration-management services & software,79.2,62.5,49.5,Act now,open,5,4,4,3,5,4,4,1,Most labs + niche SaaS vendors (~dozens),EUR 0.5-5m (service/SaaS),,,3,verified,5
"Testing, Inspection & Certification value chain > Construction, Structural & Real-Estate Inspection > Infrastructure & Bridge Inspection (Bauwerksprüfung DIN 1076)",Infrastructure & Bridge Inspection (Bauwerksprüfung DIN 1076),78.3,62.5,48.9,Act now,open,5,3,5,4,4,5,4,2,"Dozens of larger providers plus many certified Ingenieurbüros; ~100,000 municipal bridges in DE",EUR 0.5-10m per firm,,,3,verified,3
"Testing, Inspection & Certification value chain > Industrial NDT & Materials Testing > Coating & Corrosion Inspection (FROSIO/NACE)",Coating & Corrosion Inspection (FROSIO/NACE),62.5,75.0,46.9,Too small,open,3,5,4,2,4,3,5,1,hundreds of certified inspectors / micro-firms,EUR 0.2-3m typical,,,3,verified,5
"Testing, Inspection & Certification value chain > Periodic Technical & Safety Inspection > Playground & Amusement-Ride Inspection (DIN EN 1176 / Fliegende Bauten)",Playground & Amusement-Ride Inspection (DIN EN 1176 / Fliegende Bauten),75.0,62.5,46.9,Act now,open,5,5,4,3,4,3,4,1,Hundreds of certified Spielplatzprüfer + SME firms,EUR 0.1-2m typical; per-site annual fee,,,3,verified,4
"Testing, Inspection & Certification value chain > Calibration & Metrology > Gas-detection instrument calibration & inspection (Gaswarngeräte)",Gas-detection instrument calibration & inspection (Gaswarngeräte),74.2,62.5,46.4,Act now,open,5,4,5,3,4,4,4,2,~50-150 gas-detection service firms (DACH),EUR 0.5-5m typical,,,3,verified,3
"Testing, Inspection & Certification value chain > Calibration & Metrology > Weighing systems – service, maintenance & Eichvorbereitung","Weighing systems – service, maintenance & Eichvorbereitung",61.7,75.0,46.3,Act now,open,4,5,4,3,3,3,5,2,~100-200 weighing service firms (DE),EUR 0.5-5m typical,,,3,verified,5
"Testing, Inspection & Certification value chain > Periodic Technical & Safety Inspection > Lifting Equipment & Crane Inspection (DGUV V52/54)",Lifting Equipment & Crane Inspection (DGUV V52/54),70.8,62.5,44.2,Act now,open,5,4,5,3,3,3,4,1,Hundreds of authorised Sachverständige + crane-service SMEs,Crane-inspection SMEs EUR 0.5-5m typical,,,3,verified,3
