path,name,attractiveness,actionability,blended,quadrant,investability,recurring,fragmentation,regulatory_demand,scale,margin,growth,headroom,reimbursement_risk,players_dach,revenue_band,pe_activity,why_now,confidence,status,n_sources
Food & Agriculture Services value chain > Food Certification & Auditing > HACCP & Hygiene Consulting / Training,HACCP & Hygiene Consulting / Training,78.3,75.0,58.7,Act now,open,4,5,5,4,4,4,4,2,Hundreds of consultancies and training providers in DACH,EUR 0.2-3m typical owner-operated; per-course EUR 50-500/head,,,4,verified,5
Food & Agriculture Services value chain > Agricultural Contracting & Farm Services > Agricultural Contracting (Lohnunternehmen) > Slurry / Manure Spreading (Gülle & Wirtschaftsdünger),Slurry / Manure Spreading (Gülle & Wirtschaftsdünger),65.0,87.5,56.9,Act now,open,4,5,5,4,2,4,5,3,"large subset of the ~6,000 Lohnunternehmen",EUR 0.5-3m typical line,,,4,verified,5
"Food & Agriculture Services value chain > Agricultural Contracting & Farm Services > Biogas Plant Operation & Service > Technical Service, Maintenance & Repowering","Technical Service, Maintenance & Repowering",72.5,75.0,54.4,Act now,open,5,4,5,4,4,5,4,4,"hundreds of service providers serving ~9,600 plants",EUR 1-50m specialists,,,4,verified,4
Food & Agriculture Services value chain > Food-Processing Equipment Service & Hygiene > Commercial kitchen equipment service (Großküchentechnik),Commercial kitchen equipment service (Großküchentechnik),70.8,75.0,53.1,Act now,open,4,5,3,4,4,3,5,1,"~1,000+ firms (DE/AT)",EUR 0.5-8m typical (long tail EUR 0.5-3m),,,3,verified,6
Food & Agriculture Services value chain > Cold-Chain & Food Logistics > Temperature-monitoring & cold-chain compliance tech,Temperature-monitoring & cold-chain compliance tech,83.3,62.5,52.1,Act now,open,4,4,5,3,5,5,4,1,dozens of DACH-active sensor/SaaS vendors,EUR 0.5-20m typical; recurring subscription,,,3,verified,5
Food & Agriculture Services value chain > Food-Processing Equipment Service & Hygiene > Process-water & F&B water-treatment service,Process-water & F&B water-treatment service,74.2,62.5,46.4,Act now,open,5,4,4,4,4,4,3,2,~150-300 water-treatment service firms (DE),EUR 1-20m typical,,,4,verified,5
"Food & Agriculture Services value chain > Agricultural Contracting & Farm Services > Livestock Services (Klauenpflege, Besamung, Stallhygiene) > Barn Hygiene, Cleaning & Disinfection","Barn Hygiene, Cleaning & Disinfection",60.8,75.0,45.6,Act now,open,4,5,4,3,3,4,5,3,dozens-to-hundreds of regional hygiene firms,EUR 0.2-3m,,,3,verified,3
Food & Agriculture Services value chain > Cold-Chain & Food Logistics > Refrigerated transport (TK-Distribution / Frischedienst) > Regional chilled Frischedienst / multi-drop distribution,Regional chilled Frischedienst / multi-drop distribution,70.0,62.5,43.8,Act now,open,5,5,5,4,2,3,4,2,several hundred (DE),EUR 1-8m typical,,,3,verified,3
Food & Agriculture Services value chain > Food-Processing Equipment Service & Hygiene > Food & beverage processing-machine maintenance & repair (manufacturer-independent) > Meat / dairy / brewery machine service,Meat / dairy / brewery machine service,66.7,62.5,41.7,Act now,open,4,4,4,3,4,3,4,1,~200-400 firms (DE),EUR 0.5-8m typical,,,3,verified,3
Food & Agriculture Services value chain > Food-Processing Equipment Service & Hygiene > Industrial CIP (clean-in-place) systems & hygienic-cleaning service,Industrial CIP (clean-in-place) systems & hygienic-cleaning service,83.3,50.0,41.6,Act now,open,5,4,5,4,4,4,3,1,~150-300 system/service firms (DE) + chemistry majors,EUR 1-20m (long tail EUR 1-5m),,,3,verified,6
Food & Agriculture Services value chain > Food-Processing Equipment Service & Hygiene > Industrial refrigeration service for food plants (NH3/CO2),Industrial refrigeration service for food plants (NH3/CO2),87.5,45.0,39.4,Too late,restricted,5,4,5,4,4,5,4,1,~300-600 refrigeration service firms (DE),EUR 1-20m typical,,,3,verified,4
Food & Agriculture Services value chain > Food-Processing Equipment Service & Hygiene > Food & beverage processing-machine maintenance & repair (manufacturer-independent) > Bakery machine service (Bäckereimaschinen),Bakery machine service (Bäckereimaschinen),61.7,62.5,38.6,Act now,open,4,5,3,3,4,3,4,2,~300-500 firms (DE),EUR 0.5-5m typical,,,3,verified,4
"Food & Agriculture Services value chain > Agricultural Contracting & Farm Services > Agricultural Contracting (Lohnunternehmen) > Harvesting (Ernte: Silage, Mähdrusch, Hackfrucht)","Harvesting (Ernte: Silage, Mähdrusch, Hackfrucht)",43.3,87.5,37.9,Watchlist,open,4,5,2,4,2,3,5,4,"core activity for majority of the ~6,000 firms",EUR 0.5-5m typical,,,4,verified,2
"Food & Agriculture Services value chain > Food Certification & Auditing > Packaging & Sustainability Certification (FSC/PEFC, EPR/LUCID compliance)","Packaging & Sustainability Certification (FSC/PEFC, EPR/LUCID compliance)",74.2,50.0,37.1,Act now,open,4,4,5,3,4,5,3,2,Dozens of CoC-accredited bodies plus many EPR-compliance providers,EUR 1-10k per CoC audit/year; compliance fees EUR 0.2-5k/year,,,3,verified,5
Food & Agriculture Services value chain > Cold-Chain & Food Logistics > Temperature-controlled warehousing (Kühlhaus / TK-Lager) > Chilled / fresh multi-temp storage & regional distribution hubs,Chilled / fresh multi-temp storage & regional distribution hubs,70.8,50.0,35.4,Act now,open,4,4,5,4,2,4,2,1,~150+ regional firms (DE),EUR 2-30m typical,,,4,verified,4
Food & Agriculture Services value chain > Cold-Chain & Food Logistics > Cold-store & commercial refrigeration service (Gewerbekälte),Cold-store & commercial refrigeration service (Gewerbekälte),78.3,45.0,35.2,Too late,restricted,5,5,5,4,3,4,3,2,"several hundred to ~1,000+ Kältetechnik/Handwerk firms (DE)",EUR 1-20m typical owner-operated,,,4,verified,6
"Food & Agriculture Services value chain > Food-Processing Equipment Service & Hygiene > Weighing, checkweighing & foreign-body inspection equipment service","Weighing, checkweighing & foreign-body inspection equipment service",78.3,45.0,35.2,Too late,restricted,5,4,5,4,4,4,4,2,~300-500 scale/inspection service firms (DE),EUR 0.5-15m typical,,,4,verified,6
"Food & Agriculture Services value chain > Food Certification & Auditing > GFSI Food-Safety Scheme Certification (IFS Food, BRCGS, FSSC 22000) > Retail-Manufacturer Standards (IFS Food / BRCGS)",Retail-Manufacturer Standards (IFS Food / BRCGS),75.0,45.0,33.8,Too late,restricted,5,3,4,3,5,4,2,1,~15-30 accredited bodies in DE,EUR 3-12k per audit/year,,,4,verified,4
"Food & Agriculture Services value chain > Food Certification & Auditing > GFSI Food-Safety Scheme Certification (IFS Food, BRCGS, FSSC 22000) > FSSC 22000 / ISO 22000 Management-System Certification",FSSC 22000 / ISO 22000 Management-System Certification,75.0,45.0,33.8,Too late,restricted,5,3,4,3,5,4,2,1,~15-25 accredited bodies in DE,EUR 4-15k per audit/year,,,4,verified,4
"Food & Agriculture Services value chain > Agricultural Contracting & Farm Services > Agricultural Contracting (Lohnunternehmen) > Sowing, Tillage & Crop Establishment","Sowing, Tillage & Crop Establishment",44.2,75.0,33.1,Watchlist,open,3,5,2,4,2,3,5,3,"broad subset of ~6,000 firms",EUR 0.3-2m line,,,3,verified,3
Food & Agriculture Services value chain > Agricultural Contracting & Farm Services > Forestry Services (Forstdienstleister),Forestry Services (Forstdienstleister),44.2,75.0,33.1,Watchlist,open,3,5,3,3,2,3,5,3,"~8,000 forestry & logging firms (>EUR 22k revenue, 2022)",EUR 0.2-5m typical owner-operated,,,3,verified,4
Food & Agriculture Services value chain > Food Certification & Auditing > Halal & Kosher Certification,Halal & Kosher Certification,70.8,45.0,31.9,Too late,restricted,4,5,3,3,4,4,5,1,40+ halal bodies in Europe; ~10-20 active in DACH,EUR 1-5k per certificate; bodies EUR 0.3-5m,,,3,verified,4
Food & Agriculture Services value chain > Food Certification & Auditing > QS-System & GLOBALG.A.P. Farm/Feed Audits,QS-System & GLOBALG.A.P. Farm/Feed Audits,70.0,45.0,31.5,Too late,restricted,5,4,4,3,4,4,3,2,Dozens of QS-approved certification bodies/bundlers in DACH,EUR 0.3-3k per farm audit/year; bodies EUR 1-50m,,,3,verified,5
Food & Agriculture Services value chain > Cold-Chain & Food Logistics > Foodservice / catering delivery wholesale (Zustellgroßhandel) > Regional / cooperative Zustellgroßhandel & specialist Frischedienst,Regional / cooperative Zustellgroßhandel & specialist Frischedienst,66.7,45.0,30.0,Too late,restricted,5,4,4,4,2,3,2,1,dozens of regional/cooperative members (DE),EUR 20-200m,,,4,verified,4
Food & Agriculture Services value chain > Cold-Chain & Food Logistics > Temperature-controlled warehousing (Kühlhaus / TK-Lager) > Deep-freeze / TK bulk storage (-18°C),Deep-freeze / TK bulk storage (-18°C),58.3,50.0,29.1,Act now,open,4,2,4,5,2,3,2,1,~40-80 operators of scale (DE),EUR 20m-500m+,,,4,verified,4
